observed_propaedia_name,occurrence_count,part_numbers,section_codes,propaedia_page_references,header_contexts,image_relative_paths,review_notes,resolved_macropaedia_contents_name
"Biosphere, The",3,3,311 | 352,96 | 133 | 134,134 Part Three. Life on Earth | 96 Part Three. Life on Earth | Division V. Section 352,propaedia_pages/part_3/propaedia-2010-part-03-photo-01.jpg | propaedia_pages/part_3/propaedia-2010-part-03-photo-18.jpg | propaedia_pages/part_3/propaedia-2010-part-03-photo-19.jpg,"When added to the app, use the Propaedia-style label ""Biosphere and Concepts of Ecology, The"" instead of ""Biosphere, The"".",The BIOSPHERE and Concepts of Ecology
Childhood,1,4,423,153,Division II. Section 423,propaedia_pages/part_4/propaedia-2010-part-04-photo-05.jpg,,
Components of,1,4,421,148,Part Four. Human Life,propaedia_pages/part_4/propaedia-2010-part-04-photo-03.jpg,,
Conservation of Natural Resources,1,3,355,138,138 Part Three. Life on Earth,propaedia_pages/part_3/propaedia-2010-part-03-photo-22.jpg,,
Digestive Systems,2,4,421 | 423,148 | 153,Division II. Section 423 | Part Four. Human Life,propaedia_pages/part_4/propaedia-2010-part-04-photo-03.jpg | propaedia_pages/part_4/propaedia-2010-part-04-photo-05.jpg,,
Diseases and,1,4,423,153,Division II. Section 423,propaedia_pages/part_4/propaedia-2010-part-04-photo-05.jpg,,
Disorders,1,4,423,153,Division II. Section 423,propaedia_pages/part_4/propaedia-2010-part-04-photo-05.jpg,,
Lamp Shells: Phylum Brachiopoda,1,3,313,100,100 Part Three. Life on Earth,propaedia_pages/part_3/propaedia-2010-part-03-photo-03.jpg,,
Organisms,1,4,421,148,Part Four. Human Life,propaedia_pages/part_4/propaedia-2010-part-04-photo-03.jpg,,
Systems,2,4,421 | 423,148 | 153,Division II. Section 423 | Part Four. Human Life,propaedia_pages/part_4/propaedia-2010-part-04-photo-03.jpg | propaedia_pages/part_4/propaedia-2010-part-04-photo-05.jpg,,
